#proteinId	gotermId	goName	gotermType	goAcc
80	2413	NADPH:quinone reductase activity	molecular_function	GO:0003960
81	4977	amino acid transport	biological_process	GO:0006865
81	8535	amino acid transmembrane transporter activity	molecular_function	GO:0015171
81	9320	membrane	cellular_component	GO:0016020
81	4927	transport	biological_process	GO:0006810
81	4146	glycogen biosynthetic process	biological_process	GO:0005978
86	3930	cytoplasm	cellular_component	GO:0005737
86	6309	2-dehydropantoate 2-reductase activity	molecular_function	GO:0008677
86	9245	pantothenate metabolic process	biological_process	GO:0015939
86	9710	oxidoreductase activity	molecular_function	GO:0016491
86	23920	NADP binding	molecular_function	GO:0050661
86	2290	catalytic activity	molecular_function	GO:0003824
86	3708	binding	molecular_function	GO:0005488
86	5830	metabolic process	biological_process	GO:0008152
88	5830	metabolic process	biological_process	GO:0008152
88	9710	oxidoreductase activity	molecular_function	GO:0016491
88	2290	catalytic activity	molecular_function	GO:0003824
88	3708	binding	molecular_function	GO:0005488
88	2750	glucose dehydrogenase activity	molecular_function	GO:0004344
88	10756	pinocarveol dehydrogenase activity	molecular_function	GO:0018446
88	10757	chloral hydrate dehydrogenase activity	molecular_function	GO:0018447
88	10758	hydroxymethylmethylsilanediol oxidase activity	molecular_function	GO:0018448
88	10759	1-phenylethanol dehydrogenase activity	molecular_function	GO:0018449
88	10760	myrtenol dehydrogenase activity	molecular_function	GO:0018450
88	17983	versicolorin reductase activity	molecular_function	GO:0042469
88	20156	ketoreductase activity	molecular_function	GO:0045703
90	19944	naringenin 3-dioxygenase activity	molecular_function	GO:0045486
92	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
92	4143	carbohydrate metabolic process	biological_process	GO:0005975
93	2196	transcription factor activity	molecular_function	GO:0003700
93	3838	nucleus	cellular_component	GO:0005634
93	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
93	5939	zinc ion binding	molecular_function	GO:0008270
94	5830	metabolic process	biological_process	GO:0008152
94	9710	oxidoreductase activity	molecular_function	GO:0016491
94	2290	catalytic activity	molecular_function	GO:0003824
94	3708	binding	molecular_function	GO:0005488
94	2532	carbonyl reductase (NADPH) activity	molecular_function	GO:0004090
95	2290	catalytic activity	molecular_function	GO:0003824
97	2994	phospholipase activity	molecular_function	GO:0004620
97	6987	phospholipid catabolic process	biological_process	GO:0009395
97	5830	metabolic process	biological_process	GO:0008152
97	2996	lysophospholipase activity	molecular_function	GO:0004622
98	162	nucleotide binding	molecular_function	GO:0000166
99	2290	catalytic activity	molecular_function	GO:0003824
99	3708	binding	molecular_function	GO:0005488
99	5830	metabolic process	biological_process	GO:0008152
100	2888	monooxygenase activity	molecular_function	GO:0004497
100	3721	iron ion binding	molecular_function	GO:0005506
100	4283	electron transport	biological_process	GO:0006118
100	12251	heme binding	molecular_function	GO:0020037
100	9913	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	molecular_function	GO:0016712
102	22441	cofactor binding	molecular_function	GO:0048037
102	5830	metabolic process	biological_process	GO:0008152
102	2290	catalytic activity	molecular_function	GO:0003824
102	3708	binding	molecular_function	GO:0005488
103	3722	copper ion binding	molecular_function	GO:0005507
103	4283	electron transport	biological_process	GO:0006118
103	6664	electron carrier activity	molecular_function	GO:0009055
104	2196	transcription factor activity	molecular_function	GO:0003700
104	3838	nucleus	cellular_component	GO:0005634
104	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
104	5939	zinc ion binding	molecular_function	GO:0008270
105	9710	oxidoreductase activity	molecular_function	GO:0016491
105	23919	FAD binding	molecular_function	GO:0050660
105	2290	catalytic activity	molecular_function	GO:0003824
106	2290	catalytic activity	molecular_function	GO:0003824
106	5830	metabolic process	biological_process	GO:0008152
106	10024	lyase activity	molecular_function	GO:0016829
106	246	lanosterol synthase activity	molecular_function	GO:0000250
107	2888	monooxygenase activity	molecular_function	GO:0004497
107	3721	iron ion binding	molecular_function	GO:0005506
107	4283	electron transport	biological_process	GO:0006118
107	12251	heme binding	molecular_function	GO:0020037
107	6060	sterol 14-demethylase activity	molecular_function	GO:0008398
108	2300	beta-carotene 15,15'-monooxygenase activity	molecular_function	GO:0003834
109	9710	oxidoreductase activity	molecular_function	GO:0016491
109	23919	FAD binding	molecular_function	GO:0050660
109	2290	catalytic activity	molecular_function	GO:0003824
109	522	(R,R)-butanediol dehydrogenase activity	molecular_function	GO:0000721
110	2196	transcription factor activity	molecular_function	GO:0003700
110	3838	nucleus	cellular_component	GO:0005634
110	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
110	5939	zinc ion binding	molecular_function	GO:0008270
111	2888	monooxygenase activity	molecular_function	GO:0004497
111	3721	iron ion binding	molecular_function	GO:0005506
111	4283	electron transport	biological_process	GO:0006118
111	12251	heme binding	molecular_function	GO:0020037
112	2290	catalytic activity	molecular_function	GO:0003824
112	3708	binding	molecular_function	GO:0005488
112	5830	metabolic process	biological_process	GO:0008152
113	5830	metabolic process	biological_process	GO:0008152
113	9710	oxidoreductase activity	molecular_function	GO:0016491
113	10964	salicylate 1-monooxygenase activity	molecular_function	GO:0018658
114	4283	electron transport	biological_process	GO:0006118
114	9710	oxidoreductase activity	molecular_function	GO:0016491
114	5811	amine oxidase activity	molecular_function	GO:0008131
123	2196	transcription factor activity	molecular_function	GO:0003700
123	3838	nucleus	cellular_component	GO:0005634
123	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
123	5939	zinc ion binding	molecular_function	GO:0008270
123	2176	DNA binding	molecular_function	GO:0003677
123	4499	transcription	biological_process	GO:0006350
124	3722	copper ion binding	molecular_function	GO:0005507
124	5811	amine oxidase activity	molecular_function	GO:0008131
124	6905	amine metabolic process	biological_process	GO:0009308
124	22442	quinone binding	molecular_function	GO:0048038
125	2246	actin binding	molecular_function	GO:0003779
127	3032	prenyltransferase activity	molecular_function	GO:0004659
127	9321	integral to membrane	cellular_component	GO:0016021
129	2441	acid phosphatase activity	molecular_function	GO:0003993
130	10008	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	molecular_function	GO:0016813
130	21295	metal ion binding	molecular_function	GO:0046872
131	3546	transporter activity	molecular_function	GO:0005215
131	4927	transport	biological_process	GO:0006810
131	9321	integral to membrane	cellular_component	GO:0016021
132	2176	DNA binding	molecular_function	GO:0003677
132	4448	nucleotide-excision repair	biological_process	GO:0006289
134	5053	response to stress	biological_process	GO:0006950
134	9321	integral to membrane	cellular_component	GO:0016021
135	2290	catalytic activity	molecular_function	GO:0003824
135	5830	metabolic process	biological_process	GO:0008152
135	3724	calcium ion binding	molecular_function	GO:0005509
135	22441	cofactor binding	molecular_function	GO:0048037
135	10069	ligase activity	molecular_function	GO:0016874
135	2485	L-aminoadipate-semialdehyde dehydrogenase activity	molecular_function	GO:0004043
135	4120	aminoadipate-semialdehyde dehydrogenase complex	cellular_component	GO:0005949
136	3736	ATP binding	molecular_function	GO:0005524
136	4927	transport	biological_process	GO:0006810
136	9321	integral to membrane	cellular_component	GO:0016021
136	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
136	10082	ATPase activity	molecular_function	GO:0016887
136	162	nucleotide binding	molecular_function	GO:0000166
136	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
137	2290	catalytic activity	molecular_function	GO:0003824
138	5830	metabolic process	biological_process	GO:0008152
138	9710	oxidoreductase activity	molecular_function	GO:0016491
138	2719	fatty-acid synthase activity	molecular_function	GO:0004312
138	4020	fatty acid synthase complex	cellular_component	GO:0005835
138	4761	fatty acid biosynthetic process	biological_process	GO:0006633
138	2290	catalytic activity	molecular_function	GO:0003824
138	3708	binding	molecular_function	GO:0005488
142	2290	catalytic activity	molecular_function	GO:0003824
142	19375	cellular metabolic process	biological_process	GO:0044237
142	23921	coenzyme binding	molecular_function	GO:0050662
142	3708	binding	molecular_function	GO:0005488
142	5830	metabolic process	biological_process	GO:0008152
142	20008	cinnamyl-alcohol dehydrogenase activity	molecular_function	GO:0045551
143	2290	catalytic activity	molecular_function	GO:0003824
143	5830	metabolic process	biological_process	GO:0008152
143	9491	4-coumarate-CoA ligase activity	molecular_function	GO:0016207
144	9710	oxidoreductase activity	molecular_function	GO:0016491
144	23919	FAD binding	molecular_function	GO:0050660
144	2290	catalytic activity	molecular_function	GO:0003824
145	5830	metabolic process	biological_process	GO:0008152
145	9710	oxidoreductase activity	molecular_function	GO:0016491
145	10964	salicylate 1-monooxygenase activity	molecular_function	GO:0018658
146	2888	monooxygenase activity	molecular_function	GO:0004497
146	3721	iron ion binding	molecular_function	GO:0005506
146	4283	electron transport	biological_process	GO:0006118
146	12251	heme binding	molecular_function	GO:0020037
146	23642	unspecific monooxygenase activity	molecular_function	GO:0050381
147	14021	phosphopantetheine binding	molecular_function	GO:0031177
147	22441	cofactor binding	molecular_function	GO:0048037
147	5830	metabolic process	biological_process	GO:0008152
147	2290	catalytic activity	molecular_function	GO:0003824
147	3708	binding	molecular_function	GO:0005488
148	2196	transcription factor activity	molecular_function	GO:0003700
148	3838	nucleus	cellular_component	GO:0005634
148	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
148	5939	zinc ion binding	molecular_function	GO:0008270
148	2176	DNA binding	molecular_function	GO:0003677
148	4499	transcription	biological_process	GO:0006350
149	2290	catalytic activity	molecular_function	GO:0003824
149	3708	binding	molecular_function	GO:0005488
149	5830	metabolic process	biological_process	GO:0008152
149	2413	NADPH:quinone reductase activity	molecular_function	GO:0003960
151	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
151	9211	tetracycline transport	biological_process	GO:0015904
151	9321	integral to membrane	cellular_component	GO:0016021
151	21106	response to antibiotic	biological_process	GO:0046677
151	3546	transporter activity	molecular_function	GO:0005215
151	4927	transport	biological_process	GO:0006810
152	9710	oxidoreductase activity	molecular_function	GO:0016491
152	23919	FAD binding	molecular_function	GO:0050660
152	2290	catalytic activity	molecular_function	GO:0003824
153	14021	phosphopantetheine binding	molecular_function	GO:0031177
153	22441	cofactor binding	molecular_function	GO:0048037
153	5830	metabolic process	biological_process	GO:0008152
153	2290	catalytic activity	molecular_function	GO:0003824
153	3708	binding	molecular_function	GO:0005488
155	2888	monooxygenase activity	molecular_function	GO:0004497
155	3721	iron ion binding	molecular_function	GO:0005506
155	4283	electron transport	biological_process	GO:0006118
155	12251	heme binding	molecular_function	GO:0020037
155	23642	unspecific monooxygenase activity	molecular_function	GO:0050381
156	9710	oxidoreductase activity	molecular_function	GO:0016491
156	4283	electron transport	biological_process	GO:0006118
156	5830	metabolic process	biological_process	GO:0008152
156	2290	catalytic activity	molecular_function	GO:0003824
156	3708	binding	molecular_function	GO:0005488
156	23375	inositol 2-dehydrogenase activity	molecular_function	GO:0050112
157	2290	catalytic activity	molecular_function	GO:0003824
157	5830	metabolic process	biological_process	GO:0008152
157	2526	branched-chain-amino-acid transaminase activity	molecular_function	GO:0004084
157	6690	branched chain family amino acid metabolic process	biological_process	GO:0009081
158	2888	monooxygenase activity	molecular_function	GO:0004497
158	3721	iron ion binding	molecular_function	GO:0005506
158	4283	electron transport	biological_process	GO:0006118
158	12251	heme binding	molecular_function	GO:0020037
159	5830	metabolic process	biological_process	GO:0008152
159	2290	catalytic activity	molecular_function	GO:0003824
159	3708	binding	molecular_function	GO:0005488
160	2378	GTPase activity	molecular_function	GO:0003924
160	3737	GTP binding	molecular_function	GO:0005525
160	6200	dynamin GTPase activity	molecular_function	GO:0008549
162	2290	catalytic activity	molecular_function	GO:0003824
162	5830	metabolic process	biological_process	GO:0008152
162	243	C-8 sterol isomerase activity	molecular_function	GO:0000247
162	6076	delta5-delta2,4-dienoyl-CoA isomerase activity	molecular_function	GO:0008416
162	11137	3-carboxymuconate cycloisomerase type II activity	molecular_function	GO:0018842
162	19296	trans-2, cis-3 decenoyl-ACP isomerase activity	molecular_function	GO:0043832
164	2175	nucleic acid binding	molecular_function	GO:0003676
164	3838	nucleus	cellular_component	GO:0005634
166	6667	biosynthetic process	biological_process	GO:0009058
166	9986	hydrolase activity, acting on ester bonds	molecular_function	GO:0016788
